index,embeddings_intensities_x,embeddings_intensities_y,embeddings_256_x,embeddings_256_y
1089900,14.972082,0.17372976,-9.751686,-5.4368067
1126037,-21.555443,2.9359992,-2.4810543,-0.40198517
1191335,14.907076,0.65811086,-10.444112,-3.2764318
1219991,-21.677124,2.8876226,-4.053965,1.4913913
1255656,-21.588423,2.690319,-2.3135898,-0.606137
1385990,16.630222,2.026226,-10.303016,-4.618712
1425347,16.478745,-1.2251619,-2.3406253,-0.6013976
1830377,16.000286,1.7008694,-2.2112553,0.008189334
1859681,16.540281,-1.3943411,-10.211922,-4.626307
8053,17.326756,1.8744316,-10.298053,-4.603823
15304,-20.41203,2.1963003,-2.522269,-0.6807911
68840,15.503018,1.4241992,-10.150392,-3.8123615
263277,16.325232,2.024204,-10.254877,-4.559193
295058,17.98288,0.004278405,-9.709401,-5.3842297
320333,17.683428,-0.6398562,-10.0269575,-3.5716503
324305,18.115503,-0.12433567,-10.167816,-3.7788134
360648,15.915801,1.8734313,-10.358026,-3.7932997
393391,17.163769,1.8269924,-10.071495,-5.032174
450496,14.867438,0.104332894,-9.773277,-5.5144415
499962,15.516678,1.6231942,-9.899287,-3.845559
507390,14.876137,0.0300039,-9.750003,-5.511554
509618,-21.586859,2.5718424,-4.928745,1.3186331
519963,-21.620453,2.9675481,-2.700053,-0.4781993
663170,17.338274,-0.9833967,-9.880081,-3.7372925
680206,16.670534,-1.3326477,-9.811979,-3.7195065
707227,-21.39874,2.379511,-2.00851,-0.38287267
866419,-21.59617,2.7863512,-2.4138384,-0.58653843
1089901,15.170115,0.6201081,-9.599412,-5.3326974
1117672,14.942269,0.0056712436,-1.7605742,-0.6622353
1126038,-21.553562,2.9526498,-2.8498023,-0.2720334
1191336,15.505678,1.0466541,-10.257376,-3.4119554
1219992,-21.570807,2.8849504,-3.3152134,0.8425732
1255657,-20.906702,2.235779,-2.490535,-0.5300308
1385991,17.712448,-0.6323311,-10.298065,-4.6400814
1425348,15.0261755,0.09566044,-2.5023594,-0.6704492
1830378,17.940004,1.2001944,-3.1391194,1.1796461
1859682,16.284765,-1.2657026,-10.271179,-4.643683
8054,16.3183,-1.0921535,-10.275415,-4.6141343
15305,-20.36554,2.1064084,-2.6759424,-0.6331153
68841,15.139761,1.2602656,-10.222733,-3.8327289
263278,16.813251,1.95589,-10.261271,-4.4839683
295059,16.929667,1.8495429,-9.654377,-5.395267
320334,16.941015,1.8135685,-10.173746,-3.6286907
324306,15.387147,1.5814352,-10.0793915,-3.8019578
360649,16.532303,-1.3232718,-10.385739,-3.686502
393392,17.28125,1.7623622,-10.043281,-5.049132
450497,16.279848,1.9414246,-1.7751001,-0.6431469
499963,16.958189,1.9000088,-9.789681,-3.6932008
507391,18.172718,0.73993516,-1.7785902,-0.6348375
509619,-21.356134,2.573686,-5.230552,1.373091
519964,-21.621248,3.0103517,-2.7571657,-0.42973095
663171,18.264526,0.06053736,-9.975055,-3.6880736
680207,18.17716,0.6456448,-9.756742,-5.5145774
707228,-20.374466,2.0872264,-3.018597,-0.04942189
866420,-20.797749,2.1452272,-2.2347462,-0.62243944
1089902,17.570951,1.5522455,-9.623365,-5.368776
1117673,-21.308008,2.3327773,-2.830903,-0.0068950565
1126039,-21.559872,2.435549,-3.0204642,-0.2521696
1191337,15.428594,1.1339725,-10.3931465,-3.3322077
1219993,-21.492546,2.4095032,-3.908311,1.3218755
1255658,-21.642712,2.8594897,-2.6337109,-0.3981546
1385992,17.830204,-0.8223193,-10.2684765,-4.671884
1425349,14.840152,0.5486089,-2.5127106,-0.64616406
1830379,15.044318,0.0039006749,-5.2065606,2.5543206
1859683,18.283195,0.6589479,-9.892631,-5.153844
8055,14.926904,0.29383233,-10.275048,-4.6411214
